platform,claveU,title,DOI
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AABL,AABL,A COMPARATIVE ANALYSIS OF THE VISION AND MISSION STATEMENTS OF INTERNATIONAL ENVIRONMENTAL ORGANISATIONS,http://dx.doi.org/10.3197/096327107X228409
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAEU,AAEU,DEVELOPING AN OCEAN ETHIC: SCIENCE UTILITY AESTHETICS SELF-INTEREST AND DIFFERENT WAYS OF KNOWING,http://dx.doi.org/10.1111/j.1523-1739.2008.01057.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAEU,AAEU,SOCIAL EFFECTS OF SPACE AVAILABILITY ON THE BREEDING BEHAVIOUR OF ELEPHANT SEALS IN PATAGONIA,http://dx.doi.org/10.1006/anbe.1996.0075
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAEU,AAEU,TOWARD A NEW DATA STANDARD FOR COMBINED MARINE BIOLOGICAL AND ENVIRONMENTAL DATASETS - EXPANDING OBIS BEYOND SPECIES OCCURRENCES,http://dx.doi.org/10.3897/BDJ.5.e10989
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAFJ,AAFJ,THERMOREGULATORY BEHAVIOUR OF SOUTHERN SEA LIONS AND ITS EFFECT ON MATING STRATEGIES,http://dx.doi.org/10.1163/156853988X00205
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAFJ,AAFJ,REPRODUCTIVE BEHAVIOUR OF SOUTHERN SEA LIONS,http://dx.doi.org/10.1163/156853988X00539
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAFJ,AAFJ,GROWTH AND DISTRIBUTION OF A SOUTHERN ELEPHANT SEAL COLONY,http://dx.doi.org/10.1111/j.1748-7692.1992.tb00053.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAIN,AAIN,GROUP RAIDS: A MATING STRATEGY OF MALE SOUTHERN SEA LIONS,http://dx.doi.org/10.1163/156853988X00034
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAIN,AAIN,EQUAL INVESTMENT IN MALE AND FEMALE OFFSPRING IN SOUTHERN ELEPHANT SEALS,http://dx.doi.org/10.1111/j.1469-7998.1992.tb07498.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAJR,AAJR,GROUP BREEDING IN SEA LIONS: PUPS SURVIVE BETTER IN COLONIES,http://dx.doi.org/10.1016/S0003-3472(05)81014-0
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAJR,AAJR,BREEDING BIOLOGY OF SOUTHERN ELEPHANT SEAL IN PATAGONIA,http://dx.doi.org/10.1111/j.1748-7692.1993.tb00424.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAJR,AAJR,DIVING BEHAVIOUR AND FORAGING LOCATION OF FEMALE SOUTHERN ELEPHANT SEALS FROM PATAGONIA,http://dx.doi.org/10.1111/j.1469-7998.1995.tb01784.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AALE,AALE,POST-BREEDING DISTRIBUTION AND DIVING BEHAVIOR OF ADULT MALE SOUTHERN ELEPHANT SEALS FROM PATAGONIA,http://dx.doi.org/10.2307/1383185
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AALE,AALE,TEMPERATURE AND DEPTH PROFILES RECORDED DURING DIVES OF ELEPHANT SEALS REFLECT DISTINCT OCEAN ENVIRONMENTS,http://dx.doi.org/10.1016/S0924-7963(99)00091-3
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AALE,AALE,MOVEMENTS AND LOCATION AT SEA OF SOUTH AMERICAN SEA LIONS (OTARIA FLAVESCENS),http://dx.doi.org/10.1017/S0952836901001285
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AALE,AALE,DETECTING BIOLUMINESCENCE WITH AN IRRADIANCE TIME-DEPTH RECORDER DEPLOYED ON SOUTHERN ELEPHANT SEALS,http://dx.doi.org/10.1111/j.1748-7692.2001.tb01283.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AALE,AALE,SOUTHERN ELEPHANT SEAL TRAJECTORIES FRONTS AND EDDIES IN THE BRAZIL MALVINAS CONFLUENCE,http://dx.doi.org/10.1016/j.dsr.2006.08.015
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AALW,AALW,DEEP DIVERS IN SHALLOW SEAS: SOUTHERN ELEPHANT SEALS ON THE PATAGONIAN SHELF,http://dx.doi.org/10.1016/j.dsr.2007.06.006
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AALW,AALW,ENTANGLEMENT OF SOUTHERN ELEPHANT SEALS IN SQUID FISHING GEAR,http://dx.doi.org/0.1111/j.1748-7692.2007.00105.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AALW,AALW,A SPECIES APPROACH TO MARINE ECOSYSTEM CONSERVATION,http://dx.doi.org/10.1002/aqc.918
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAMD,AAMD,SEXUAL DIMORPHISM IN NEWBORN SOUTHERN SEA LIONS,http://dx.doi.org/10.1111/j.1748-7692.1991.tb00113.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAMD,AAMD,PROXIMATE COMPOSITION AND ENERGETIC VALUE OF DEMERSAL AND PELAGIC PREY SPECIES FROM THE SW ATLANTIC OCEAN,http://dx.doi.org/10.3354/meps291043
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAMG,AAMG,EVIDENCE OF DEMERSAL FORAGING FROM STABLE ISOTOPE ANALYSIS OF JUVENILE ELEPHANT SEALS FROM PATAGONIA,http://dx.doi.org/10.1111/j.1748-7692.2009.00347.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AANC,AANC,ON- AND OFF-SHELF DIVING EFFORT OF JUVENILE ELEPHANT SEALS FROM PEN«çNSULA VALD«?S DETERMINED BY LIGHT LOGGERS,http://dx.doi.org/10.1644/10-MAMM-A-292.1
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AANC,AANC,DEMERSAL AND PELAGIC SPECIES OF FISH AND SQUID FROM THE PATAGONIAN SHELF,http://dx.doi.org/10.3897/zookeys.668.11826
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AANC,AANC,BEHAVIOUR OF SOUTHERN ELEPHANT SEAL WEANLINGS DURING THE POST-WEANING FAST IN PATAGONIA,http://dx.doi.org/10.1515/mamm.1999.63.3.257
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AANC,AANC,DEVELOPMENT OF CARDIORESPIRATORY PATTERNS ASSOCIATED WITH TERRESTRIAL APNEAS IN FREE-RANGING SOUTHERN ELEPHANT SEALS,http://dx.doi.org/10.1086/316637
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AANJ,AANJ,VOCAL COMMUNICATION AND INDIVIDUAL VARIATION IN BREEDING SOUTH AMERICAN SEA LIONS,http://dx.doi.org/10.1163/156853999501441
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AANJ,AANJ,VOCAL RATES AND SOCIAL CONTEXT IN MALE SOUTH AMERICAN SEA LIONS,http://dx.doi.org/10.1111/j.1748-7692.2001.tb01281.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AANJ,AANJ,VARIATIONS IN THE ARRANGEMENT OF SOUTH AMERICAN SEA LION (OTARIA FLAVESCENS) MALE VOCALIZATIONS DURING THE BREEDING SEASON: PATTERNS AND CONTEXTS,http://dx.doi.org/10.1578/016754203101024112
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AANZ,AANZ,INTERDEPENDENCE OF SOCIAL STRUCTURE AND DEMOGRAPHY IN THE SOUTHERN ELEPHANT SEAL COLONY OF PEN«çNSULA VALD«?S ARGENTINA,http://dx.doi.org/10.1111/j.1748-7692.2008.00268.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAPR,AAPR,THE FOUNDING OF A SOUTHERN ELEPHANT SEAL COLONY,http://dx.doi.org/10.1111/j.1748-7692.2012.00585.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAQJ,AAQJ,CONVERGENT EVOLUTION IN LOCOMOTORY PATTERNS OF FLYING AND SWIMMING ANIMALS,http://dx.doi.org/DOI: 10.1038/ncomms1350
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAQJ,AAQJ,ARGENTINIAN COASTAL WATERS: A TEMPERATE HABITAT FOR THREE SPECIES OF THREATENED SEA TURTLES,http://dx.doi.org/10.1080/17451000.2010.528772
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAQJ,AAQJ,LEGAL AND INSTITUTIONAL TOOLS TO MITIGATE MARINE TURTLE BYCATCH: ARGENTINA AS A CASE STUDY,http://dx.doi.org/doi.org/10.1016/j.marpol.2012.03.014
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAQJ,AAQJ,ELEPHANT SEAL GENETIC VARIATION AND THE USE OF SIMULATION MODELS TO INVESTIGATE HISTORICAL POPULATION BOTTLENECKS,http://dx.doi.org/10.1093/oxfordjournals.jhered.a111370
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AAWJ,AAWJ,GENETIC AND MORPHOMETRIC DIFFERENTIATION BETWEEN ISLAND AND MAINLAND SOUTHERN ELEPHANT SEAL POPULATIONS,http://dx.doi.org/10.1098/rspb.2000.1375
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABIZ,ABIZ,SITE FIDELITY AND DISPERSION OF SOUTHERN ELEPHANT SEALS FROM PATAGONIA,http://dx.doi.org/10.1111/j.1748-7692.1996.tb00312.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABIZ,ABIZ,ONTOGENETIC AND SEASONAL VARIATION IN BLOOD PARAMETERS IN SOUTHERN ELEPHANT SEALS,http://dx.doi.org/10.1111/j.1748-7692.2001.tb01302.x
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABIZ,ABIZ,ANNUAL CYCLE AND INTER-ANNUAL VARIATION IN THE HAUL-OUT PATTERN OF AN INCREASING SOUTHERN ELEPHANT SEAL COLONY,http://dx.doi.org/10.1017/S0954102004002020
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABNU,ABNU,SOUTHERN ELEPHANT SEALS NORTH OF THE ANTARCTIC POLAR FRONT,http://dx.doi.org/10.1017/S0954102006000253
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABNU,ABNU,SEX-SPECIFIC FORAGING STRATEGIES AND RESOURCE PARTITIONING IN THE SOUTHERN ELEPHANT SEAL (MIROUNGA LEONINA),http://dx.doi.org/10.1098/rspb.2006.3642
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABNU,ABNU,PERSPECTIVES OF MARINE BIODIVERSITY STUDIES IN ARGENTINA PERSPECTIVAS DE LOS ESTUDIOS SOBRE BIODIVERSIDAD MARINA EN LA ARGENTINA,http://dx.doi.org/10.4067/S0717-65382003000200016
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABVM,ABVM,MARINE BIODIVERSITY IN THE ATLANTIC AND PACIFIC COASTS OF SOUTH AMERICA: KNOWLEDGE AND GAPS,http://dx.doi.org/10.1371/journal.pone.0014631
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABVM,ABVM,FORAGING HABITATS OF SOUTHERN ELEPHANT SEALS MIROUNGA LEONINA FROM THE NORTHERN ANTARCTIC PENINSULA,http://dx.doi.org/10.1016/j.dsr2.2012.07.009
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABVM,ABVM,THREE-DIMENSIONAL DIVING BEHAVIOR OF A SOUTH AMERICAN SEA LION (OTARIA FLAVESCENS),http://dx.doi.org/10.4027/slw.2006.18
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ABVM,ABVM,ADULT FEMALE SURVIVAL POPULATION TREND AND THE IMPLICATIONS OF EARLY PRIMIPARITY IN A CAPITAL BREEDER THE SOUTHERN ELEPHANT SEAL (MIROUNGA LEONINA),http://dx.doi.org/10.1017/S0952836904004984
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ACDL,ACDL,FINE-SCALE BREEDING HABITAT PREFERENCES OF SOUTHERN ELEPHANT SEALS (MIROUNGA LEONINA) ON PEN«çNSULA VALD«?S,http://dx.doi.org/10.1578/AM.39.3.2013.233
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/ACIY,ACIY,PITCHING A NEW ANGLE ON ELEPHANT SEAL DIVE PATTERNS,http://dx.doi.org/10.1007/s00300-011-0981-6
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AFST,AFST,SOUTH AMERICAN SEA LIONS (OTARIA FLAVESCENS) AVOID KILLER WHALE (ORCINUS ORCA) PREDATION,http://dx.doi.org/10.1578/AM.34.3.2008.317
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AFST,AFST,DIVING BEHAVIOUR OF LACTATING SOUTHERN SEA LIONS (OTARIA FLAVESCENS) IN PATAGONIA,http://dx.doi.org/10.1139/z95-232
https://linkeddata.cenpat-conicet.gob.ar/resource/platform/AFST,AFST,ALL AT SEA WITH ANIMAL TRACKS METHODOLOGICAL AND ANALYTICAL SOLUTIONS FOR THE RESOLUTION OF MOVEMENT,http://dx.doi.org/10.1016/j.dsr2.2006.11.017
